v3	V(vin)	V(vout)
1.239999999999994e+001	1.240000e+001	-1.233661e+000
1.249999999999994e+001	1.250000e+001	-1.243661e+000
1.259999999999994e+001	1.260000e+001	-1.253660e+000
1.269999999999994e+001	1.270000e+001	-1.263660e+000
1.279999999999994e+001	1.280000e+001	-1.273659e+000
1.289999999999994e+001	1.290000e+001	-1.283659e+000
1.299999999999993e+001	1.300000e+001	-1.293658e+000
1.309999999999993e+001	1.310000e+001	-1.303658e+000
1.319999999999993e+001	1.320000e+001	-1.313657e+000
1.329999999999993e+001	1.330000e+001	-1.323656e+000
1.339999999999993e+001	1.340000e+001	-1.333656e+000
1.349999999999993e+001	1.350000e+001	-1.343655e+000
1.359999999999993e+001	1.360000e+001	-1.353655e+000
1.369999999999993e+001	1.370000e+001	-1.363654e+000
1.379999999999993e+001	1.380000e+001	-1.373654e+000
1.389999999999993e+001	1.390000e+001	-1.383653e+000
1.399999999999993e+001	1.400000e+001	-1.393652e+000
1.409999999999993e+001	1.410000e+001	-1.403652e+000
1.419999999999993e+001	1.420000e+001	-1.413651e+000
1.429999999999993e+001	1.430000e+001	-1.423651e+000
1.439999999999993e+001	1.440000e+001	-1.433650e+000
1.449999999999993e+001	1.450000e+001	-1.443650e+000
1.459999999999993e+001	1.460000e+001	-1.453649e+000
1.469999999999993e+001	1.470000e+001	-1.463648e+000
1.479999999999993e+001	1.480000e+001	-1.473648e+000
1.489999999999993e+001	1.490000e+001	-1.483647e+000
1.500000000000000e+001	1.500000e+001	-1.493647e+000
