Freq.	V(vo)
Step Information: 1=1  (Run: 1/11)
1.94984459975804e+000	(2.88168156095004e+001dB,1.78169718725941e+002°)
1.99526231496887e+000	(2.88166068321722e+001dB,1.78127116013742e+002°)
2.04173794466952e+000	(2.88163882262283e+001dB,1.78083523101677e+002°)
2.08929613085403e+000	(2.88161593294969e+001dB,1.78038917078190e+002°)
2.13796208950223e+000	(2.88159196581245e+001dB,1.77993274508972e+002°)
2.18776162394955e+000	(2.88156687055638e+001dB,1.77946571425563e+002°)
2.23872113856833e+000	(2.88154059415146e+001dB,1.77898783313742e+002°)
2.29086765276777e+000	(2.88151308108160e+001dB,1.77849885101709e+002°)
2.34422881531991e+000	(2.88148427322871e+001dB,1.77799851148050e+002°)
2.39883291901948e+000	(2.88145410975152e+001dB,1.77748655229495e+002°)
2.45470891568502e+000	(2.88142252695868e+001dB,1.77696270528460e+002°)
2.51188643150957e+000	(2.88138945817617e+001dB,1.77642669620376e+002°)
2.57039578276886e+000	(2.88135483360851e+001dB,1.77587824460808e+002°)
2.63026799189537e+000	(2.88131858019371e+001dB,1.77531706372365e+002°)
2.69153480392691e+000	(2.88128062145143e+001dB,1.77474286031389e+002°)
2.75422870333816e+000	(2.88124087732437e+001dB,1.77415533454454e+002°)
2.81838293126444e+000	(2.88119926401224e+001dB,1.77355417984644e+002°)
2.88403150312660e+000	(2.88115569379833e+001dB,1.77293908277634e+002°)
2.95120922666637e+000	(2.88111007486802e+001dB,1.77230972287572e+002°)
3.01995172040200e+000	(2.88106231111916e+001dB,1.77166577252767e+002°)
3.09029543251358e+000	(2.88101230196378e+001dB,1.77100689681182e+002°)
3.16227766016837e+000	(2.88095994212084e+001dB,1.77033275335743e+002°)
3.23593656929627e+000	(2.88090512139961e+001dB,1.76964299219475e+002°)
3.31131121482590e+000	(2.88084772447328e+001dB,1.76893725560460e+002°)
3.38844156139201e+000	(2.88078763064238e+001dB,1.76821517796633e+002°)
3.46736850452530e+000	(2.88072471358752e+001dB,1.76747638560426e+002°)
3.54813389233574e+000	(2.88065884111115e+001dB,1.76672049663268e+002°)
3.63078054770100e+000	(2.88058987486769e+001dB,1.76594712079949e+002°)
3.71535229097171e+000	(2.88051767008166e+001dB,1.76515585932868e+002°)
3.80189396320560e+000	(2.88044207525326e+001dB,1.76434630476176e+002°)
3.89045144994279e+000	(2.88036293185094e+001dB,1.76351804079825e+002°)
3.98107170553496e+000	(2.88028007399032e+001dB,1.76267064213546e+002°)
4.07380277804111e+000	(2.88019332809902e+001dB,1.76180367430775e+002°)
4.16869383470334e+000	(2.88010251256669e+001dB,1.76091669352539e+002°)
4.26579518801591e+000	(2.88000743737987e+001dB,1.76000924651341e+002°)
4.36515832240164e+000	(2.87990790374072e+001dB,1.75908087035046e+002°)
4.46683592150961e+000	(2.87980370366944e+001dB,1.75813109230819e+002°)
4.57088189614873e+000	(2.87969461958927e+001dB,1.75715942969124e+002°)
4.67735141287196e+000	(2.87958042389378e+001dB,1.75616538967825e+002°)
4.78630092322636e+000	(2.87946087849551e+001dB,1.75514846916426e+002°)
4.89778819368444e+000	(2.87933573435546e+001dB,1.75410815460481e+002°)
5.01187233627270e+000	(2.87920473099253e+001dB,1.75304392186215e+002°)
5.12861383991363e+000	(2.87906759597225e+001dB,1.75195523605401e+002°)
5.24807460249770e+000	(2.87892404437419e+001dB,1.75084155140544e+002°)
5.37031796370250e+000	(2.87877377823695e+001dB,1.74970231110411e+002°)
5.49540873857622e+000	(2.87861648598034e+001dB,1.74853694715975e+002°)
5.62341325190346e+000	(2.87845184180368e+001dB,1.74734488026823e+002°)
5.75439937337154e+000	(2.87827950505948e+001dB,1.74612551968088e+002°)
5.88843655355586e+000	(2.87809911960183e+001dB,1.74487826307989e+002°)
6.02559586074355e+000	(2.87791031310847e+001dB,1.74360249646026e+002°)
6.16595001861479e+000	(2.87771269637588e+001dB,1.74229759401934e+002°)
6.30957344480190e+000	(2.87750586258647e+001dB,1.74096291805456e+002°)
6.45654229034652e+000	(2.87728938654714e+001dB,1.73959781887046e+002°)
6.60693448007593e+000	(2.87706282389825e+001dB,1.73820163469572e+002°)
6.76082975391978e+000	(2.87682571029237e+001dB,1.73677369161149e+002°)
6.91830970918933e+000	(2.87657756054188e+001dB,1.73531330349178e+002°)
7.07945784384134e+000	(2.87631786773467e+001dB,1.73381977195741e+002°)
7.24435960074986e+000	(2.87604610231722e+001dB,1.73229238634442e+002°)
7.41310241300914e+000	(2.87576171114437e+001dB,1.73073042368849e+002°)
7.58577575029180e+000	(2.87546411649489e+001dB,1.72913314872660e+002°)
7.76247116628688e+000	(2.87515271505254e+001dB,1.72749981391750e+002°)
7.94328234724277e+000	(2.87482687685167e+001dB,1.72582965948246e+002°)
8.12830516164095e+000	(2.87448594418713e+001dB,1.72412191346803e+002°)
8.31763771102667e+000	(2.87412923048778e+001dB,1.72237579183253e+002°)
