time	V(vin)	V(vout)
5.907232048413538e-002	-2.873310e-001	2.964359e-001
5.921880485913540e-002	-2.429635e-001	2.520762e-001
5.932692427877826e-002	-2.097838e-001	2.189022e-001
5.943504369842112e-002	-1.764588e-001	1.855826e-001
5.954316311806399e-002	-1.429884e-001	1.521174e-001
5.965128253770685e-002	-1.093725e-001	1.185066e-001
5.975940195734972e-002	-7.561130e-002	8.475018e-002
5.986752137699258e-002	-4.170465e-002	5.084822e-002
5.997564079663544e-002	-7.652595e-003	1.680067e-002
5.998784782788545e-002	-3.817568e-003	1.296614e-002
6.000005485913544e-002	1.737359e-005	9.131690e-003
6.001226189038544e-002	3.852231e-003	5.297321e-003
6.002446892163545e-002	7.687004e-003	1.463035e-003
6.003667595288545e-002	1.152169e-002	-2.371170e-003
6.004888298413545e-002	1.535630e-002	-6.205294e-003
6.006109001538545e-002	1.919082e-002	-1.003934e-002
6.027623894116671e-002	8.667413e-002	-7.751465e-002
6.027683180571152e-002	8.685968e-002	-7.752558e-002
6.028294213186831e-002	8.877188e-002	-7.666093e-002
6.028302203802499e-002	8.879688e-002	-7.671579e-002
6.028321296116317e-002	8.885663e-002	-7.721163e-002
6.028329683023898e-002	8.888287e-002	-7.728267e-002
6.028849966876882e-002	9.051081e-002	-7.655260e-002
6.028880237599443e-002	9.060551e-002	-7.650987e-002
6.028912272597347e-002	9.070574e-002	-7.747654e-002
6.028944520606140e-002	9.080663e-002	-7.984056e-002
6.028963691379909e-002	9.086661e-002	-8.098169e-002
6.028992764100382e-002	9.095757e-002	-8.158322e-002
6.029022539318795e-002	9.105072e-002	-8.181246e-002
6.029050847636296e-002	9.113928e-002	-8.196200e-002
6.029698995977556e-002	9.316685e-002	-8.399966e-002
6.030347144318817e-002	9.519401e-002	-8.603429e-002
6.030995292660078e-002	9.722077e-002	-8.806591e-002
6.031643441001339e-002	9.924712e-002	-9.009451e-002
6.032291589342599e-002	1.012731e-001	-9.212009e-002
6.032939737683860e-002	1.032986e-001	-9.414266e-002
6.033587886025121e-002	1.053237e-001	-9.616221e-002
6.050719127065203e-002	1.590402e-001	-1.498731e-001
6.067850368105286e-002	2.119204e-001	-2.027483e-001
6.084981609145368e-002	2.639644e-001	-2.547878e-001
6.102112850185450e-002	3.151722e-001	-3.059918e-001
6.119244091225533e-002	3.655438e-001	-3.563601e-001
6.136375332265615e-002	4.150791e-001	-4.058928e-001
6.153506573305698e-002	4.637783e-001	-4.545898e-001
6.183752940270239e-002	5.470666e-001	-5.378761e-001
6.213999307234781e-002	6.239218e-001	-6.147312e-001
6.244245674199323e-002	6.943439e-001	-6.851551e-001
6.274492041163865e-002	7.583330e-001	-7.491479e-001
6.304738408128406e-002	8.158890e-001	-8.067096e-001
6.334984775092949e-002	8.670120e-001	-8.578401e-001
6.365231142057490e-002	9.117019e-001	-9.025396e-001
6.416986777023449e-002	9.648752e-001	-9.557351e-001
6.468742411989407e-002	9.928734e-001	-9.837580e-001
6.520498046955367e-002	9.956967e-001	-9.866083e-001
6.572253681921325e-002	9.733449e-001	-9.642861e-001
6.624009316887285e-002	9.258181e-001	-9.167912e-001
6.675764951853244e-002	8.531163e-001	-8.441238e-001
6.727520586819202e-002	7.552394e-001	-7.462838e-001
6.751673070078132e-002	7.024987e-001	-6.935596e-001
6.775825553337063e-002	6.465741e-001	-6.376511e-001
6.799978036595993e-002	5.874657e-001	-5.785584e-001
6.824130519854924e-002	5.251734e-001	-5.162814e-001
6.848283003113853e-002	4.596973e-001	-4.508201e-001
6.872435486372784e-002	3.910374e-001	-3.821746e-001
6.896587969631714e-002	3.191936e-001	-3.103448e-001
6.907427869889583e-002	2.866432e-001	-2.777986e-001
6.918267770147452e-002	2.538570e-001	-2.450175e-001
6.929107670405321e-002	2.208350e-001	-2.120016e-001
6.939947570663191e-002	1.875771e-001	-1.787508e-001
6.950787470921060e-002	1.540835e-001	-1.452651e-001
6.961627371178929e-002	1.203541e-001	-1.115446e-001
6.972467271436798e-002	8.638880e-002	-7.758928e-002
6.972980719385755e-002	8.478168e-002	-7.803474e-002
6.973024335466979e-002	8.464514e-002	-7.807419e-002
6.973078581845302e-002	8.447534e-002	-7.726281e-002
6.973129856787788e-002	8.431482e-002	-7.580291e-002
6.973167029385612e-002	8.419846e-002	-7.534081e-002
6.973214308368930e-002	8.405045e-002	-7.526784e-002
6.997768779940132e-002	7.009527e-003	1.790134e-003
7.000901839362413e-002	-2.835590e-003	1.163399e-002
7.004034898784695e-002	-1.267805e-002	2.147520e-002
7.007167958206975e-002	-2.251785e-002	3.131378e-002
7.010301017629256e-002	-3.235500e-002	4.114971e-002
7.013434077051536e-002	-4.218949e-002	5.098301e-002
7.016567136473818e-002	-5.202132e-002	6.081366e-002
7.019700195896099e-002	-6.185049e-002	7.064167e-002
7.032877475230986e-002	-1.032781e-001	1.120646e-001
7.046054754565874e-002	-1.443545e-001	1.531366e-001
7.059232033900761e-002	-1.850798e-001	1.938579e-001
7.072409313235650e-002	-2.254539e-001	2.342283e-001
7.085586592570538e-002	-2.654769e-001	2.742480e-001
7.098763871905425e-002	-3.051487e-001	3.139168e-001
7.111941151240313e-002	-3.444694e-001	3.532348e-001
7.112263672063195e-002	-3.454204e-001	3.541858e-001
7.137742817070862e-002	-4.203802e-001	4.291415e-001
7.163221962078530e-002	-4.915879e-001	5.003464e-001
